image,reference
image1.png,"A large Bengal tiger is chest-deep in a body of water covered with bright green algae, looking directly forward."
image2.png,"A wet, paved street on a rainy day. In the immediate foreground, a person on a black motorcycle wearing a bright neon green helmet is riding past. In the background, another person is walking toward a gas station."
image3.png,"An indoor workspace featuring a large wooden desk. On the desk sits a flat-screen computer monitor, a white keyboard, and a mouse. A black office chair is pulled up to the desk, and a small white drawer unit sits underneath on the left."
image4.png,"A clear red brick pathway curving to the right through a park. A wooden bench sits on the grass to the left of the path, and a white stone gazebo is visible further back on the right."
image5.png,"A paved walking path curving gently through a shaded park. A low, rustic wooden fence runs along the left side of the path, with tall green trees surrounding the area and sunlight filtering through the leaves."
image6.png,"A garden setting with a curved bed of densely packed white, pink, and purple tulips in the foreground. A clear grassy area is in the middle, surrounded by more flowers and tall green trees."
image7.png,"Inside a narrow grocery store aisle. To the right are wooden shelves tightly packed with various boxes and bottles. To the left, large sacks of grain are stacked high. A person wearing a face mask is further down the aisle organizing items."
image8.png,"A wide indoor view of a multi-story shopping mall. The ground floor is a spacious tiled walkway with a McDonald's kiosk in the center and several people walking around. Stores line the sides, and upper levels with glass railings are visible above."
image9.png,"Two men are standing in a small wooden boat on calm water. The boat is passing directly between a natural archway formed by the dense, tangled roots and branches of mangrove trees on both sides."
image10.png,"An empty classroom. The immediate area is filled with rows of student desks and chairs. In the back left, a counter holds several older desktop computers. A large whiteboard is on the right wall."
image11.png,"A long, narrow aisle in a library. Tall, white bookshelves tightly packed with books line both the left and right sides, extending straight into the distance. At the far end of the aisle, two orange chairs sit against a wall beneath a fire hose cabinet."
image12.png,"A young woman wearing a red beanie and a blue denim shirt holding a silver vintage camera up to her face, standing in front of dense, dark green pine branches."
image13.png,"A single large yellow sunflower in full bloom in the foreground, with a tall stalk of wild grass next to it, set against a blurred silhouette of trees during a golden sunset."
image14.png,"A wide view down the center of a busy city street lined with tall skyscrapers, showing tram tracks on the road, cars driving, and pedestrians walking on the sidewalks under an overcast sky."
image15.png,"A bustling street scene filled with parked and moving motorcycles, yellow auto-rickshaws, and pedestrians, bordered by multi-story commercial buildings with colorful shop signboards under a sunny sky."
image16.png,An outdoor bus depot with several light blue public buses parked in a row facing forward. People are boarding the bus on the far right. Behind the buses is a multi-story commercial building covered in various advertising signboards.
image17.png,"The interior aisle of a public bus looking toward the front windshield. Grey plastic seats with blue patterned cushions line both sides of the narrow walkway. Overhead, bright yellow grab handles hang from yellow metal poles. A few passengers are seated facing forward."
image18.png,"A bright, clean hospital ward. Several empty hospital beds with blue and white linens are arranged in rows on the left and right. Medical monitors and equipment are mounted on the walls above the beds, separated by drawn-back light blue privacy curtains."
image19.png,"The national flag of India, featuring horizontal stripes of saffron, white, and green with a blue wheel in the center, blowing in the wind against a clear, bright blue sky."
image20.png,"A young man holding a paperback book open close to his face, partially obscuring his mouth and nose. He is looking down at the pages. The book's yellow and white cover reads 'Metrication edited by F.W. Kellaway'."
image21.png,"A large, round metal thali platter filled with various Indian dishes. The platter holds small metal bowls containing rice, dal, different vegetable curries, and sweet balls. Alongside the main platter are smaller plates with sliced tomatoes, onions, cucumbers, limes, and pieces of flatbread."
image22.png,"A light brown dog is lying down, resting its head on a paved sidewalk next to a street. A red motorcycle is partially visible parked on the right side of the sidewalk."
image23.png,"A group of six women are sitting in a circle on blue plastic chairs on an outdoor tiled patio or porch. They appear to be engaged in a meeting or class, as most are holding notebooks and pens, and looking towards each other."
image24.png,"A bright blue and white passenger train, emitting thick white smoke, is traveling along a curved track perched high above a deep, lush green forest gorge."
image25.png,"A full, wide view of the Eiffel Tower in Paris, standing tall against a bright blue sky with scattered clouds. The tower is viewed from a park with a wide gravel path in the foreground, bordered by trees on both sides."
image26.png,"A bright, glowing sun is setting against a vibrant orange and yellow sky, partially obscured by the dark, silhouetted branches and leaves of a tree in the foreground."
image27.png,"A large, white polar bear is standing and facing forward on dark, uneven rocky terrain."
image28.png,"A black and white giant panda is lying on its back, nestled comfortably in the fork of a thick, textured artificial tree branch."
image29.png,"A small, scruffy calico kitten is sitting on rough pavement, pressed right up against the bottom edge of a dirty white car tire."
image30.png,"A line of cars is parked bumper-to-bumper along the side of a paved street. The vehicles, including a blue car in the immediate foreground, are parked under the shade of large green trees."
image31.png,"A shallow white bowl filled with fresh fruit, including red apples, yellow pears, a pomegranate, and peaches, sits on a dark wooden coffee table. An apricot rests on the table just outside the bowl, with a blurred bed visible in the background."
image32.png,"Several bicycles are parked on a grassy riverbank beneath leafy green trees. A bright blue bicycle with large red saddlebags is prominent in the foreground. Through the trees, a white boat is visible on the water."
image33.png,"A white passenger airplane is parked on a wet concrete tarmac with a covered boarding bridge attached to the front door. A mobile staircase is positioned at the rear door, and a small silver service car is parked beneath the wing."
image34.png,"A tall, yellow traffic light pole stands on a city street beneath a concrete overpass. The top light is illuminated in bright red and shaped like a heart."
image35.png,"A wide shot of a severely congested multi-lane city road underneath a concrete overpass. The road is packed tightly with a mix of white and silver cars, yellow auto-rickshaws, and motorcycles."
image36.png,"An outdoor train station platform with a covered roof on the right. Empty train tracks run down the middle, separating this platform from another one on the left where a crowd of people is waiting near a pedestrian bridge."
image37.png,"A long, steep flight of outdoor concrete stairs going straight up a hill. A metal handrail runs along the right side next to dark soil and bushes, while a retaining wall and green plants border the left side."
image38.png,"A wide, paved two-lane road stretching into the distance, lined with green grass and trees. In the immediate center foreground, there is a large, deep pothole filled with water."
image39.png,"A two-page printed restaurant menu on a dark gray textured background. The left page features a large top-down photo of a grilled chicken salad. The right page lists menu items categorized under 'Drinks', 'Appetizer', 'Desert', and 'Beverage' in white and orange text."
image40.png,"An outdoor evening gathering in a backyard. A group of about eight people are sitting around a wooden dining table on a lawn, eating and drinking. One person is playing a guitar. The area is illuminated by warm string lights hung overhead from the house and trees."
image41.png,"A rural paved road. A man wearing a white shirt and dhoti is walking away from the camera, holding a black umbrella and guiding a small herd of cows and sheep down the road. To his left, a woman in a colorful sari is walking while balancing a large bundle of dry branches on her head."
image42.png,"A wide, fast-flowing river with turbulent, white-capped rapids rushing towards the foreground. The river is surrounded by dense, green bushes and tall trees under a partly cloudy sky."
image43.png,"A close-up view of the upper section of the Elizabeth Tower (Big Ben) in London, showing the ornate gold and stone detailing and two clock faces. The top edge of the London Eye Ferris wheel is visible in the lower left background against a blue sky with white clouds."
image44.png,"A close-up of a Monarch butterfly with bright orange, black, and white patterned wings. It is clinging upside down to a small white and yellow flower on a thin green stem, set against a smooth, blurred green background."
image45.png,"A large flock of pink flamingos standing in shallow, reflective blue water. The birds are densely packed, with several facing different directions, against a clear, solid blue sky."
image46.png,"A person viewed from behind sitting in a black ergonomic chair at a desk in a dimly lit room. They are looking at a multi-monitor computer setup consisting of three large, glowing screens displaying vibrant, abstract imagery. The room has orange ambient lighting."
image47.png,"A view from the back of a large, brightly lit conference room filled with an audience seated in rows of chairs. At the front of the room, a man in a suit is standing and pointing toward a large projector screen displaying two line graphs."
image48.png,"Inside an industrial-style coffee shop. A wooden counter stretches across the foreground where two customers are seated. Behind the counter, two baristas are preparing drinks. The wall behind them features large blackboards with chalk drawings of coffee equipment and menus, illuminated by several green pendant lights hanging from the high ceiling."
image49.png,"A large, crispy, golden-brown rolled dosa with a pat of butter melting on top, resting on a fresh green banana leaf. Three small metal bowls are arranged around it, containing white coconut chutney, a red spicy chutney, and a yellow potato curry."
image50.png,"A severe two-car accident on a paved road bordered by green hedges. One silver car is severely crushed against the left hedge. The second white car is flipped completely upside down in the middle of the road. In the background, two yellow and blue police vehicles are parked, blocking the road."
